"书名","nid","测一测上传图片","测一测音频","测一测答案选项","测一测对应的新标准单元"
"1AU8_little","189","1AU8_little.jpg"," little.mp3","little, big, chair, small","1A_U8"
"1AU8_big","190","1AU8_big.jpg"," big.mp3","big, little, small, bed","1A_U8"
"1AU9_book","191","1AU9_book.jpg"," book.mp3","book, block, pen, paper","1A_U9"
"1AU10_dog","192","1AU10_dog.jpg"," dog.mp3","dog, cat, panda, duck","1A_U10"
"1AU10_duck","193","1AU10_duck.jpg"," duck.mp3","duck, dog, chicken, bird","1A_U10"
"1AU11_walk","194","1AU11_walk.jpg"," walk.mp3","walk, talk, run, jump","1A_U11"
"3AU1_Daming","195","3AU1_Daming.jpg"," 3AU1_Daming.mp3","Daming, Darwin, Xiaoming, Liming","3A_U1"
"1AU11_jump","196","1AU11_jump.jpg"," jump.mp3","jump, run, walk, fly","1A_U11"
"1AU11_fly","197","1AU11_fly.jpg"," fly.mp3","fly, jump, walk, run","1A_U11"
"1AU12_dumpling","198","1AU12_dumpling.jpg"," dumpling.mp3","dumpling, noodles, rice, wonton","1A_U12"
"1AU12_firecracker","199","1AU12_firecracker.jpg"," firecracker.mp3","firecracker, dumpling, run, jump","1A_U12"
"3AU1_teacher","200","3AU1_teacher.jpg"," 3AU1_teacher.mp3","teacher, student, singer, driver","3A_U1"
"2AU1_Amy","202","2AU1_Amy.jpg"," Amy.mp3","Amy, Sam, Lucy, Anny","2A_U1"
"2AU1_friends","203","2AU1_friends.jpg"," friends.mp3","friends, girls, boys, amy","2A_U1"
"2AU1_Doming","204","2AU2_Daming.jpg"," Doming.mp3","Doming, Lingling, Amy, Lucy","2A_U2"
"2AU3_big girl","205","2AU3_big_girl.jpg"," big girl.mp3","big girl, little girl, girls, boys","2A_U3"
"2AU3_little girl","206","2AU3_little_girl.jpg"," little girl.mp3","little girl, big girl, girls, boys","2A_U3"
"2AU3_big boy","207","2AU3_big_boy.jpg"," big boy.mp3","big boy, little boy, little girl, big girl","2A_U3"
"2AU3_little boy","208","2AU3_little_boy.jpg"," little boy.mp3","little boy, big boy, boy, girl","2A_U3"
"2AU3_girl","209","2AU3_girl.jpg"," girl.mp3","girl, boy, man, woman","2A_U3"
"2AU3_boy","210","2AU3_boy.jpg"," boy.mp3","boy, girl, man, woman","2A_U3"
"2AU4_ears","211","2AU4_ears.jpg"," ears.mp3","ears, nose, eyes, face","2A_U4"
"2AU4_mouth","212","2AU4_mouth.jpg"," mouth.mp3","mouth, ear, nose, eyes","2A_U4"
"2AU4_nose","213","2AU4_nose.jpg"," nose.mp3","nose, mouth, eyes, ears","2A_U4"
"2AU5_happy","214","2AU5_happy.jpg"," happy.mp3","happy, sad, angry, laugh","2A_U5"
"2AU5_sad","215","2AU5_sad.jpg"," sad.mp3","sad, happy, angry, laugh","2A_U5"
"2AU5_quiet","216","2AU5_quiet.jpg"," quiet.mp3","quiet, noisy, sad, happy","2A_U5"
"2AU5_loud","217","2AU5_loud.jpg"," loud.mp3","loud, quiet, noisy, sad","2A_U5"
"2AU6_four","218","2AU6_four.jpg"," four.mp3","four, three, one, two","2A_U6"
"2AU6_five","219","2AU6_five.jpg"," five.mp3","five, four, three, two","2A_U6"
"2AU6_fingers","220","2AU6_fingers.jpg"," fingers.mp3","fingers, hand, four, five","2A_U6"
"3AU2_angry","221","3AU2_angry.jpg"," 3AU2_angry.mp3","angry, hurry, sorry, merry","3A_U2"
"3AU2_happy","222","3AU2_happy.jpg"," 3AU2_happy.mp3","happy, sad, scary, worry","3A_U2"
"3AU2_hungry","223","3AU2_hungry.jpg"," 3AU2_hungry.mp3","hungry, thirsty, yummy, greedy","3A_U2"
"3AU2_scared","224","3AU2_scared.jpg"," 3AU2_scared.mp3","scared, frightened, afraid, dread","3A_U2"
"3AU3_lantern","225","3AU3_lantern.jpg"," 3AU3_lantern.mp3","lantern, light, lamp, spotlight","3A_U3"
"3AU3_moon","226","3AU3_moon.jpg"," 3AU3_moon.mp3","moon, sun, star, planet","3A_U3"
"3AU3_mooncake","227","3AU3_mooncake.jpg"," 3AU3_mooncake.mp3","mooncake, bread, toast, cheese","3A_U3"
"3AU4_head","228","3AU4_head.jpg"," 3AU4_head.mp3","head, brain, mouth, neck","3A_U4"
"3AU4_knees","229","3AU4_knees.jpg"," 3AU4_knees.mp3","knees, legs, ankle, foot","3A_U4"
"3AU4_shoulders","230","3AU4_shoulders.jpg"," 3AU4_shoulders.mp3","shoulders, arms, palm, hand","3A_U4"
"3AU4_tummy","231","3AU4_tummy.jpg"," 3AU4_tummy.mp3","tummy, belly, stomach, chest","3A_U4"
"3AU5_doctor","232","3AU5_doctor.jpg"," 3AU5_doctor.mp3","doctor, teacher, worker, farmer","3A_U5"
"3AU5_nurse","233","3AU5_nurse.jpg"," 3AU5_nurse.mp3","nurse, needle, medicine, hospital","3A_U5"
"3AU6_brushmyteeth","234","3AU6_brushmyteeth.jpg"," 3AU6_brushmyteeth.mp3","brush my teeth, wash my face, wash my hair, clean my hands","3A_U6"
"3AU6_eatgoodfood","235","3AU6_eatgoodfood.jpg"," 3AU6_eatgoodfood.mp3","eat good food, have some fruit, drink some tea, take a shower","3A_U6"
"3AU6_smile","236","3AU6_smile.jpg"," 3AU6_smile.mp3","smile, laugh, cry, scream","3A_U6"
"3AU7_baby","237","3AU7_baby.jpg"," 3AU7_baby.mp3","baby, child, boy, girl","3A_U7"
"3AU7_grandma","238","3AU7_grandma.jpg"," 3AU7_grandma.mp3","grandma, uncle, father, mother","3A_U7"
"3AU7_grandpa","239","3AU7_grandpa.jpg"," 3AU7_grandpa.mp3","grandpa, grandson, aunt, brother","3A_U7"
"3AU8_dress","240","3AU8_dress.jpg"," 3AU8_dress.mp3","dress, pants, skirt, robe","3A_U8"
"3AU8_shorts","241","3AU8_shorts.jpg"," 3AU8_shorts.mp3","shorts, trousers, breeches, bells","3A_U8"
"3AU8_socks","242","3AU8_socks.jpg"," 3AU8_socks.mp3","socks, belt, boots, shoes","3A_U8"
"3AU9_blackjacket","243","3AU9_blackjacket.jpg"," 3AU9_blackjacket.mp3","black jacket, white shirt, yellow skirt, red shorts","3A_U9"
"3AU9_pinkskirt","244","3AU9_pinkskirt.jpg"," 3AU9_pinkskirt.mp3","pink skirt, grey coat, blue pants, orange socks","3A_U9"
"3AU9_purpleglasses","245","3AU9_purpleglasses.jpg"," 3AU9_purpleglasses.mp3","purple glasses, green shoes, black watch, blond hair","3A_U9"
"3AU10_cow","246","3AU10_cow.jpg"," 3AU10_cow.mp3","cow, bull, cat, dog","3A_U10"
"3AU10_horse","247","3AU10_horse.jpg"," 3AU10_horse.mp3","horse, sheep, goat, pig","3A_U10"
"3AU10_pig","248","3AU10_pig.jpg"," 3AU10_pig.mp3","pig, cattle, monkey, mouse","3A_U10"
"3AU10_sheep","249","3AU10_sheep.jpg"," 3AU10_sheep.mp3","sheep, wolf, bear, lion","3A_U10"
"3AU11_black","250","3AU11_black.jpg"," 3AU11_black.mp3","black, grey, white, red","3A_U11"
"3AU11_grey","251","3AU11_grey.jpg"," 3AU11_grey.mp3","grey, yellow, pink, blue","3A_U11"
"3AU11_pink","252","3AU11_pink.jpg"," 3AU11_pink.mp3","pink, white, red, blue","3A_U11"
"3AU11_white","253","3AU11_white.jpg"," 3AU11_white.mp3","white, yellow, green, orange","3A_U11"
"3AU12_dancing","254","3AU12_dancing.jpg"," 3AU12_dancing.mp3","dancing, flying, running, sitting","3A_U12"
"3AU12_eating","255","3AU12_eating.jpg"," 3AU12_eating.mp3","eating, drinking, playing, studying","3A_U12"
"3AU12_jumping","256","3AU12_jumping.jpg"," 3AU12_jumping.mp3","jumping, watching, riding, looking","3A_U12"
"3AU12_sleeping","257","3AU12_sleeping.jpg"," 3AU12_sleeping.mp3","sleeping, speaking, shaving, shaking","3A_U12"
"3BU1_computer","258","3BU1_computer.jpg"," 3BU1_computer.mp3","computer, keyboard, mouse, screen","3B_U1"
"3BU1_door","259","3BU1_door.jpg"," 3BU1_door.mp3","door, gate, house, bed","3B_U1"
"3BU1_window","260","3BU1_window.jpg"," 3BU1_window.mp3","window, door, shop, winter","3B_U1"
"3BU2_circle","261","3BU2_circle.jpg"," 3BU2_circle.mp3","circle, cube, certain, serve","3B_U2"
"3BU2_square","262","3BU2_square.jpg"," 3BU2_square.mp3","square, space, triangle, smell","3B_U2"
"3BU2_triangle","263","3BU2_triangle.jpg"," 3BU2_triangle.mp3","triangle, square, puzzle, circle","3B_U2"
"3BU3_bathroom","264","3BU3_bathroom.jpg"," 3BU3_bathroom.mp3","bathroom, bedroom, livingroom, diningroom","3B_U3"
"3BU3_bedroom","265","3BU3_bedroom.jpg"," 3BU3_bedroom.mp3","bedroom, bathroom, washroom, livingroom","3B_U3"
"3BU3_kitchen","266","3BU3_kitchen.jpg"," 3BU3_kitchen.mp3","kitchen, chicken, bedroom, bathroom","3B_U3"
"3BU4_icecream","267","3BU4_icecream.jpg"," 3BU4_icecream.mp3","ice cream, candy, lolipop, apple","3B_U4"
"3BU4_milk","268","3BU4_milk.jpg"," 3BU4_milk.mp3","milk, meat, coffee, juice","3B_U4"
"3BU4_sweets","269","3BU4_sweets.jpg"," 3BU4_sweets.mp3","sweets, meat, sugar, candy","3B_U4"
"3BU5_bowl","270","3BU5_bowl.jpg"," 3BU5_bowl.mp3","bowl, brown, fork, chopsticks","3B_U5"
"3BU5_plate","271","3BU5_plate.jpg"," 3BU5_plate.mp3","plate, place, spoon, knife","3B_U5"
"3BU5_spoon","272","3BU5_spoon.jpg"," 3BU5_spoon.mp3","spoon, swim, fork, cup","3B_U5"
"3BU6_eggs","273","3BU6_eggs.jpg"," 3BU6_eggs.mp3","eggs, balls, grapes, apples","3B_U6"
"3BU6_juice","274","3BU6_juice.jpg"," 3BU6_juice.mp3","juice, drink, water, fruit","3B_U6"
"3BU6_pizza","275","3BU6_pizza.jpg"," 3BU6_pizza.mp3","pizza, bread, cheese, salad","3B_U6"
"3BU7_hear","276","3BU7_hear.jpg"," 3BU7_hear.mp3","hear, fear, smell, see","3B_U7"
"3BU7_see","277","3BU7_see.jpg"," 3BU7_see.mp3","see, look, watch, tea","3B_U7"
"3BU7_smell","278","3BU7_smell.jpg"," 3BU7_smell.mp3","smell, feel, meal, swear","3B_U7"
"3BU8_children","279","3BU8_children.jpg"," 3BU8_children.mp3","children, woman, man, animal","3B_U8"
"3BU8_dance","280","3BU8_dance.jpg"," 3BU8_dance.mp3","dance, jump, run, dream","3B_U8"
"3BU8_family","281","3BU8_family.jpg"," 3BU8_family.mp3","family, child, mother, father","3B_U8"
"3BU9_rainy","282","3BU9_rainy.jpg"," 3BU9_rainy.mp3","rainy, snowy, sunny, fine","3B_U9"
"3BU9_snowy","283","3BU9_snowy.jpg"," 3BU9_snowy.mp3","snowy, rainy, sunny, foggy","3B_U9"
"3BU9_sunny","284","3BU9_sunny.jpg"," 3BU9_sunny.mp3","sunny, funny, rainy, cold","3B_U9"
"3BU10_picture","285","3BU10_picture.jpg"," 3BU10_picture.mp3","picture, photo, picnic, painting","3B_U10"
"3BU10_puzzle","286","3BU10_puzzle.jpg"," 3BU10_puzzle.mp3","puzzle, rabbit, square, puff","3B_U10"
"3BU10_puzzlepieces","287","3BU10_puzzlepieces.jpg"," 3BU10_puzzlepieces.mp3","puzzle pieces, glasses, magic cube, passport","3B_U10"
"3BU11_house","288","3BU11_house.jpg"," 3BU11_house.mp3","house, home, horse, hope","3B_U11"
"3BU11_train","289","3BU11_train.jpg"," 3BU11_train.mp3","train, car, plane, ship","3B_U11"
"3BU11_tree","290","3BU11_tree.jpg"," 3BU11_tree.mp3","tree, grass, three, plant","3B_U11"
"3BU12_climb","291","3BU12_climb.jpg"," 3BU12_climb.mp3","climb, jump, hide, hike","3B_U12"
"3BU12_paint","292","3BU12_paint.jpg"," 3BU12_paint.mp3","paint, draw, write, picture","3B_U12"
"3BU12_wave","293","3BU12_wave.jpg"," 3BU12_wave.mp3","wave, shave, wake, wait","3B_U12"
"2AU6_toes","294","2AU6_toes.jpg"," toes.mp3","toes, fingers, foot, hand","2A_U6"
"2AU8_shirt","295","2AU8_shirt.jpg"," shirt.mp3","shirt, skirt, coat, jacket","2A_U8"
"2AU8_trousers","296","2AU8_trousers.jpg"," trousers.mp3","trousers, shirt, skirt, coat",""
"2AU8_socks","297","2AU8_socks.jpg"," socks.mp3","socks, trousers, shirt, skirt",""
"2AU8_shoes","298","2AU8_shoes.jpg"," shoes.mp3","shoes, socks, shirt, coat","2A_U8"
"2AU9_look","299","2AU9_look.jpg"," look.mp3","look, eyes, see, work","2A_U9"
"2AU9_presents","300","2AU9_presents.jpg"," presents.mp3","presents, boxes, gifts, shoes","2A_U9"
"2AU9_green","302","2AU9_green.jpg"," green.mp3","green, yellow, red, blue","2A_U9"
"2AU10_tiger","303","2AU10_tiger.jpg"," tiger.mp3","tiger, dog, cat, duck","2A_U10"
"2AU10_mouse","304","2AU10_mouse.jpg"," mouse.mp3","mouse, tiger, cat, dog","2A_U10"
"2AU10_fish","305","2AU10_fish.jpg"," fish.mp3","fish, cat, tiger, mouse","2A_U10"
"2AU10_legs","306","2AU10_legs.jpg"," legs.mp3","legs, arms, hands, fingers","2A_U10"
"2BU1_bag","307","2BU1_bag.jpg"," 2BU1_bag.mp3","bag, bed, dad, bottle","2B_U1"
"2BU1_paper","308","2BU1_paper.jpg"," 2BU1_paper.mp3","paper, pen, pencil, eraser","2B_U1"
"2BU1_pencil","309","2BU1_pencil.jpg"," 2BU1_pencil.mp3","pencil, pen, paper, book","2B_U1"
"2BU1_scissors","310","2BU1_scissors.jpg"," 2BU1_scissors.mp3","scissors, knife, sister, fork","2B_U1"
"2BU2_eight","311","2BU2_eight.jpg"," 2BU2_eight.mp3","eight, one, three, nine","2B_U2"
"2BU2_picture","312","2BU2_picture.jpg"," 2BU2_picture.mp3","picture, paint, paper, pencil","2B_U2"
"2AU11_orange","313","2AU11_orange.jpg"," orange.mp3","orange, red, yellow, blue","2B_U11"
"2BU2_seven","314","2BU2_seven.jpg"," 2BU2_seven.mp3","seven, six, two, ten","2B_U2"
"2BU2_six","315","2BU2_six.jpg"," 2BU2_six.mp3","six, three, seven, five","2B_U2"
"2BU3_123go","316","2BU3_123go.jpg"," 2BU3_123go.mp3","1, 2, 3,go!, Let's go!, 1, 2, 3, run!, Let's jump!","2B_U3"
"2BU3_it'smyturn","317","2BU3_it_smyturn.jpg"," 2BU3_it'smyturn.mp3","It's my turn., It's mine., It's your turn., It's yours.","2B_U3"
"2BU3_it'syourturn","318","2BU3_it_syourturn.jpg"," 2BU3_it'syourturn.mp3","It's your turn., Let's play!, Are you ready?, Come on!","2B_U3"
"2AU11_brown","319","2AU11_brown.jpg"," brown.mp3","brown, orange, yellow, black","2A_U11"
"2AU11_fast","320","2AU11_fast.jpg"," fast.mp3","fast, slow, rabbit, rabbit","2A_U11"
"2BU4_noodles","321","2BU4_noodles.jpg"," 2BU4_noodles.mp3","noodles, dumplings, rice, corn","2B_U4"
"2AU11_slow","322","2AU11_slow.jpg"," slow.mp3","slow, fast, turtle, green","2A_U11"
"2AU12_swim","323","2AU12_swim.jpg"," swim.mp3","swim, run, jump, fly","2A_U12"
"2AU12_fly","324","2AU12_fly.jpg"," fly.mp3","fly, swim, run, jump","2A_U12"
"2AU12_run","325","2AU12_run.jpg"," run.mp3","run, fly, swim, jump","2A_U12"
"2AU12_climb","326","2AU12_climb.jpg"," climb.mp3","climb, run, swim, fly","2A_U12"
"2BU4_rice","327","2BU4_rice.jpg"," 2BU4_rice.mp3","rice, bowl, meat, table","2B_U4"
"1BU1_teacher","328","1BU1_teacher.jpg"," (812081)Unit_1_teacher.mp3","teacher, mummy, daddy, sam","1B_U1"
"2BU4_soup","329","2BU4_soup.jpg"," 2BU4_soup.mp3","soup, drink, water, rice","2B_U4"
"1BU1_desk","330","1BU1_desk.jpg"," (812079)(新标准幼儿英语小学英语预备课程(教学卡片)(1B)(点读书)声音文件)Unit_1_desk.mp3","desk, table, bed, chair","1B_U1"
"2BU4_water","331","2BU4_water.jpg"," 2BU4_water.mp3","water, glass, drink, bottle","2B_U4"
"2BU5_drink","332","2BU5_drink.jpg"," 2BU5_drink.mp3","drink, eat, water, boy","2B_U5"
"2BU5_eat","333","2BU5_eat.jpg"," 2BU5_eat.mp3","eat, bowl, rice, chopsticks","2B_U5"
"2BU5_hungry","334","2BU5_hungry.jpg"," 2BU5_hungry.mp3","hungry, egg, rice, soup","2B_U5"
"2BU5_thirsty","335","2BU5_thirsty.jpg"," 2BU5_thirsty.mp3","thirsty, drink, water, glass","2B_U5"
"2BU6_idon'tlike","336","2BU6_idon_tlike.jpg"," 2BU6_idon'tlike.mp3","I don't like, I hate, I like, I want","2B_U6"
"2BU6_ilike","337","2BU6_ilike.jpg"," 2BU6_ilike.mp3","I like, I need, I don't like, I have","2B_U6"
"2BU6_nothankyou","338","2BU6_nothankyou.jpg"," 2BU6_nothankyou.mp3","No, thank you., No, thanks., Yes, please., Yes, I like.","2B_U6"
"2BU6_yesplease","339","2BU6_yesplease.jpg"," 2BU6_yesplease.mp3","Yes, please., No, thanks., Yes, thank you., No, I don't.","2B_U6"
"2BU7_balloon","340","2BU7_balloon.jpg"," 2BU7_balloon.mp3","balloon, ball, football, basketball","2B_U7"
"2BU7_cake","341","2BU7_cake.jpg"," 2BU7_cake.mp3","cake, bread, rice, salad","2B_U7"
"2BU7_candles","342","2BU7_candles.jpg"," 2BU7_candles.mp3","candles, cake, flame, light","2B_U7"
"2BU7_nineten","343","2BU7_nineten.jpg"," 2BU7_nineten.mp3","nine, ten, one, two, six, seven, four, five","2B_U7"
"2BU8_coat","344","2BU8_coat.jpg"," 2BU8_coat.mp3","coat, dress, skirt, shirt","2B_U8"
"2BU8_father's day","345","2BU8_father_s_day.jpg"," 2BU8_father's day.mp3","Father's day, Mother's day, Children's day, Teacher's day","2B_U8"
"2BU8_hat","346","2BU8_hat.jpg"," 2BU8_hat.mp3","hat, cap, cat, head","2B_U8"
"2BU9_it'scold","347","2BU9_it_scold.jpg"," 2BU9_it'scold.mp3","It's cold., It's hot., It's warm., It's snowy.","2B_U9"
"2BU9_it'shot","348","2BU9_it_shot.jpg"," 2BU9_it'shot.mp3","It's hot., It's rainy., It's dry., It's wet.","2B_U9"
"2BU9_it'ssnowy","349","2BU9_it_ssnowy.jpg"," 2BU9_it'ssnowy.mp3","It's snowy., It's rainy., It's foggy., It's sunny.","2B_U9"
"2BU9_it'ssunny","350","2BU9_it_ssunny.jpg"," 2BU9_it'ssunny.mp3","It's sunny., It's rainy., It's funny., It's snowy.","2B_U9"
"2BU10_boat","351","2BU10_boat.jpg"," 2BU10_boat.mp3","boat, ship, car, plane","2B_U10"
"2BU10_drum","352","2BU10_drum.jpg"," 2BU10_drum.mp3","drum, guitar, piano, music","2B_U10"
"2BU10_kite","353","2BU10_kite.jpg"," 2BU10_kite.mp3","kite, cat, knife, kid","2B_U10"
"2BU11_down","354","2BU11_down.jpg"," 2BU11_down.mp3","down, up, left, right","2B_U11"
"2BU11_seesaw","355","2BU11_seesaw.jpg"," 2BU11_seesaw.mp3","seesaw, slide, swing, doll","2B_U11"
"2BU11_under","356","2BU11_under.jpg"," 2BU11_under.mp3","under, up, behind, over","2B_U11"
"2BU11_up","357","2BU11_up.jpg"," 2BU11_up.mp3","up, down, over, beside","2B_U11"
"2BU12_fast","358","2BU12_fast.jpg"," 2BU12_fast.mp3","fast, slow, quick, run","2B_U12"
"2BU12_high","359","2BU12_high.jpg"," 2BU12_high.mp3","high, low, up, down","2B_U12"
"2BU12_slowly","360","2BU12_slowly.jpg"," 2BU12_slowly.mp3","slowly, quickly, swim, stand","2B_U12"
"1BU1_door","361","1BU1_door.jpg"," 1BU1_door.mp3","door, window, floor, desk","1B_U1"
"1BU2_Ball","362","1BU2_Ball.jpg"," 1BU2_Ball.mp3","ball, tall, bowl, box","1B_U2"
"1BU2_car","363","1BU2_car.jpg"," 1BU2_car.mp3","car, bike, desk, door","1B_U2"
"1BU2_crayon","364","1BU2_crayon.jpg"," 1BU2_crayon.mp3","crayon, pencil, pen, car","1B_U2"
"1BU3_blue","365","1BU3_blue.jpg"," 1BU3_blue.mp3","blue, red, yellow, green","1B_U3"
"1BU3_monkey","366","1BU3_monkey.jpg"," 1BU3_monkey.mp3","monkey, dog, duck, panda","1B_U3"
"1BU3_red","367","1BU3_red.jpg"," 1BU3_red.mp3","red, blue, green, yellow","1B_U3"
"1BU4_apple","368","1BU4_apple.jpg"," 1BU4_apple.mp3","apple, orange, banana, lemon","1B_U4"
"1BU4_banana","369","1BU4_banana.jpg"," 1BU4_banana.mp3","banana, apple, orange, lemon","1B_U4"
"1BU5_pear","370","1BU5_pear.jpg"," 1BU5_pear.mp3","pear, apple, banana, orange","1B_U5"
"1BU5_strawberry","371","1BU5_strawberry.jpg"," 1BU5_strawberry.mp3","strawberry, apple, pear, banana","1B_U5"
"1BU5_yellow","372","1BU5_yellow.jpg"," 1BU5_yellow.mp3","yellow, red, blue, green","1B_U5"
"1BU6_eat","373","1BU6_eat.jpg"," 1BU6_eat.mp3","eat, hungry, drink, thirsty","1B_U6"
"1BU6_I'm hungry","374","1BU6_I_m_hungry.jpg"," 1BU6_I'm hungry.mp3","I'm hungry., I'm thirsty., I'm angry., I like bread.","1B_U6"
"1BU6_three","375","1BU6_three.jpg"," 1BU6_three.mp3","three, one, two, four","1B_U6"
"1BU7_card","376","1BU7_card.jpg"," 1BU7_card.mp3","card, flower, gift, car","1B_U7"
"1BU7_flower","377","1BU7_flower.jpg"," 1BU7_flower.mp3","flower, pear, apple, mummy","1B_U7"
"1BU7_happy","378","1BU7_happy.jpg"," 1BU7_happy.mp3","happy, sad, angry, laugh","1B_U7"
"1BU8_clap","379","1BU8_clap.jpg"," 1BU8_clap.mp3","clap, jump, swing, walk","1B_U8"
"1BU8_jump","380","1BU8_jump.jpg"," 1BU8_jump.mp3","jump, run, walk, swim","1B_U8"
"1BU8_run","381","1BU8_run.jpg"," 1BU8_run.mp3","run, jump, walk, swim","1B_U8"
"1BU8_swing","382","1BU8_swing.jpg"," 1BU8_swing.mp3","swing, run, jump, walk","1B_U8"
"1BU8_wave","383","1BU8_wave.jpg"," 1BU8_wave.mp3","wave, clap, jump, run","1B_U8"
"1BU9_down","384","1BU9_down.jpg"," 1BU9_down.mp3","down, up, town, left","1B_U9"
"1BU9_slide","385","1BU9_slide.jpg"," 1BU9_slide.mp3","slide, desk, bed, window","1B_U9"
"1BU9_up","386","1BU9_up.jpg"," 1BU9_up.mp3","up, down, left, jump","1B_U9"
"1BU10_pencil","387","1BU10_pencil.jpg"," 1BU10_pencil.mp3","pencil, pen, puppet, pig","1B_U10"
"1BU10_please","388","1BU10_please.jpg"," 1BU10_please.mp3","please, peace, pen, pencil","1B_U10"
"1BU10_puppet","389","1BU10_puppet.jpg"," 1BU10_puppet.mp3","puppet, toy, cat, dog","1B_U10"
"1BU11_blocks","390","1BU11_blocks.jpg"," 1BU11_blocks.mp3","blocks, puppet, doll, car","1B_U11"
"1BU11_doll","391","1BU11_doll.jpg"," 1BU11_doll.mp3","doll, puppet, car, girl","1B_U11"
"1BU11_friend","392","1BU11_friend.jpg"," 1BU11_friend.mp3","friend, boy, girl, child","1B_U11"
"1BU12_duck","393","1BU12_duck.jpg"," 1BU12_duck.mp3","duck, chicken, dog, cat","1B_U12"
"1BU12_jacket","394","1BU12_jacket.jpg"," 1BU12_jacket.mp3","jacket, coat, jack, warm","1B_U12"
"2AU7_brush my teeth","4317","2AU7_brush_my_teeth.jpg"," 2AU7_brush my teeth.mp3","brush my teeth, wipe my tear, wash my hand, clean my face","2A_U7"
"2AU7_comb my hair","4318","2AU7_comb_my_hair.jpg"," 2AU7_comb my hair.mp3","comb my hair, brush my teeth, brush my teeth, clean my face","2A_U7"
"2AU7_wash my face","4319","2AU7_wash_my_face.jpg"," 2AU7_wash my face.mp3","wash my face, wash my hands, brush my teeth, comb my hair","2A_U7"
"2AU7_wash my hand","4320","2AU7_wash_my_hands.jpg"," 2AU7_wash my hands.mp3","wash my hand, comb my hair, brush my teeth, wash my face","2A_U7"
